Country ,BD_2013,IR_2013,CBF_2013,GER_2013,TPD_2013,NERV_2013
Benin,-2.6,1,0,4.7,25.4,4.1
Burkina Faso ,-3.58,0.5,0,4.7,28.58,4.12
Cabo Verde,-8.8,1.5,0,4.9,102.5,4.1
Cote D'Ivoire ,2.2,2.6,0,4.7,34,4.1
Gambia ,-8.7,5.7,0,4.6,88.1,-10.3
Ghana ,-8.6,11.7,12.3,3.1,56.8,-7.4
Guinea,-2,11.9,0.01,2.9,44.5,2.1
Guinea Bissau,3.4,0.7,0,4.7,52.6,4.1
Liberia,-0.5,7.6,0,2.8,30.5,-4.1
Mail,-2.2,0.6,0,4.7,26,4.1
Niger,-2.6,2.3,0,4.7,23.1,4.1
Nigeria ,-1.3,8.5,0,8.9,12.4,2.1
Senegal,-5.5,0.7,0,4.7,30.7,4.1
Sierra Leone,-1.6,10.4,1.7,3.2,30.8,1.1
Togo,-4.6,1.8,0,4.7,45.3,4.1
