Country ,BD_2016,IR_2016,CBF_2016,GER_2016,TPD_2016,NERV_2016
Benin,-6.2,-0.8,0,4.4,49.4,0.5
Burkina Faso ,-3.14,-0.2,0,4.4,34.23,0.5
Cabo Verde,-3.5,-1.4,0,6.6,128.6,0.5
Cote D'Ivoire ,3.9,0.7,0,4.4,42.1,0.5
Gambia ,-9.5,7.9,33.1,2.4,117.3,-3.3
Ghana ,-10.9,17.5,0,2.8,73.1,-4.2
Guinea,0.1,8.2,0.01,1.4,43.1,-16.4
Guinea Bissau,4,1.5,0,4.4,46.1,0.5
Liberia,2.2,8.8,0,3.3,36.7,-8.4
Mail,-3.9,1.8,0,4.4,36,0.5
Niger,-6.1,0.2,0,4.4,39.7,0.5
Nigeria ,-2.2,15.7,0,5.8,17.1,-23.5
Senegal,-4.2,0.8,0,5.79,55.7,0.5
Sierra Leone,-6.4,10.8,33.1,4.7,55.7,-19.1
Togo,-8.5,0.9,0,4.4,79.4,0.5
